episode,num_iters,sum_rewards,curr_eps,time
664,1118,-20,0.313439,36325.069305
665,1112,-20,0.312439,36391.913035
666,1173,-20,0.311383,36460.388430
667,1120,-21,0.310375,36526.936238
668,1101,-21,0.309384,36593.502547
669,1157,-20,0.308343,36657.755499
670,1153,-21,0.307305,36717.203994
671,1183,-21,0.306240,36793.779196
672,1123,-21,0.305230,36857.539149
673,1106,-21,0.304234,36921.801691
674,1107,-21,0.303238,36981.344038
675,1212,-21,0.302147,37041.677124
676,1097,-21,0.301160,37092.514006
677,1096,-21,0.300173,37150.572823
678,1098,-21,0.299185,37218.247214
679,1173,-21,0.298130,37280.058576
680,1122,-20,0.297120,37346.571899
681,1107,-21,0.296123,37407.749243
682,1097,-21,0.295136,37464.473880
683,1191,-21,0.294064,37530.363623
684,1034,-21,0.293134,37596.426660
685,1047,-21,0.292191,37664.863651
686,1147,-20,0.291159,37729.098586
687,1077,-21,0.290190,37793.488577
688,1189,-21,0.289120,37858.927687
689,1097,-21,0.288132,37919.359162
690,1094,-21,0.287148,37985.151264
691,1118,-20,0.286142,38052.036284
692,1179,-21,0.285080,38121.217333
693,1101,-21,0.284090,38186.099474
694,1088,-21,0.283110,38253.811797
695,1123,-20,0.282100,38324.130109
696,1260,-21,0.280966,38394.727173
697,1099,-21,0.279977,38464.654316
698,1095,-21,0.278991,38534.467479
699,1137,-20,0.277968,38596.438260
700,1144,-20,0.276938,38664.841636
701,1101,-21,0.275947,38724.108567
702,1107,-21,0.274951,38785.981720
703,1094,-21,0.273966,38847.723585
704,1108,-21,0.272969,38905.196340
705,1115,-21,0.271966,38964.428999
706,1050,-21,0.271021,39034.116756
707,1100,-21,0.270031,39101.203317
708,1057,-21,0.269079,39160.304768
709,1101,-20,0.268088,39222.909581
710,1115,-20,0.267085,39292.394469
711,1086,-21,0.266108,39359.866996
712,1102,-21,0.265116,39421.746420
713,1097,-21,0.264128,39490.256757
714,1108,-21,0.263131,39559.593004
715,1191,-21,0.262059,39638.122802
716,1109,-21,0.261061,39712.823134
717,1097,-21,0.260074,39777.458100
718,1101,-21,0.259083,39846.660486
