episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
426,1098,0.013909,-21,0.533948,6002318,80493.648613
427,1039,0.010985,-21,0.533012,6014775,80657.509376
428,1005,0.006520,-21,0.532108,6025463,80798.121913
429,1100,0.012366,-21,0.531118,6038267,80972.149158
430,1016,0.010765,-21,0.530204,6050293,81135.799831
431,1359,0.015135,-19,0.528980,6066933,81358.025313
432,1075,0.009655,-21,0.528013,6077875,81505.193307
433,1240,0.010823,-20,0.526897,6091965,81697.495352
434,1103,0.008767,-21,0.525904,6104611,81864.737544
435,1015,0.012842,-21,0.524991,6115680,82015.612862
436,1068,0.008895,-21,0.524030,6128814,82195.356869
437,1379,0.010759,-20,0.522788,6143815,82399.024932
438,1097,0.011887,-21,0.521801,6157673,82587.120909
439,1102,0.010202,-21,0.520809,6172456,82787.312342
440,1227,0.013320,-20,0.519705,6187400,82988.780698
441,1092,0.010712,-21,0.518722,6201698,83184.504073
442,1132,0.011144,-21,0.517703,6215484,83365.839641
443,1198,0.017121,-21,0.516625,6230328,83565.411177
444,1108,0.009045,-21,0.515628,6243981,83747.917279
445,1238,0.013199,-20,0.514514,6260526,83966.658652
446,1240,0.010418,-20,0.513398,6274101,84150.700700
447,1403,0.011003,-19,0.512135,6292850,84397.402779
448,999,0.011710,-21,0.511236,6304617,84553.377313
449,1020,0.010243,-21,0.510318,6318245,84735.055934
450,1086,0.011475,-21,0.509341,6330470,84906.895017
451,1031,0.012043,-21,0.508413,6342498,85069.316952
452,1331,0.012106,-21,0.507215,6358121,85280.071351
453,1289,0.010452,-21,0.506055,6373332,85483.977868
454,1221,0.012742,-19,0.504956,6388136,85685.122903
455,1301,0.011158,-20,0.503785,6402564,85878.767166
456,1486,0.012837,-20,0.502448,6420538,86116.322203
457,1274,0.013144,-20,0.501301,6436483,86330.940696
458,1198,0.009098,-20,0.500223,6451728,86538.775923
459,1248,0.012801,-20,0.499100,6466188,86736.748473
460,1019,0.010654,-21,0.498182,6477854,86897.667201
461,1139,0.008228,-21,0.497157,6491964,87087.729220
462,1208,0.011469,-21,0.496070,6506462,87281.917378
463,1229,0.011655,-20,0.494964,6520694,87470.635863
464,1149,0.011758,-21,0.493930,6534384,87660.098344
465,1243,0.011043,-19,0.492811,6549885,87866.753073
466,1195,0.013467,-20,0.491736,6564794,88065.408975
467,1052,0.010911,-21,0.490789,6577670,88240.852148
468,1002,0.010472,-21,0.489887,6589818,88406.070449
469,1183,0.011739,-21,0.488822,6604102,88595.706667
470,1056,0.009948,-21,0.487872,6616202,88754.875049
471,1129,0.013993,-20,0.486856,6628967,88926.366515
472,1351,0.014112,-20,0.485640,6645759,89149.725649
473,1014,0.009356,-21,0.484727,6658005,89313.589393
474,1287,0.013580,-19,0.483569,6673999,89527.548045
475,1368,0.009155,-20,0.482338,6690679,89747.382467
476,1026,0.008364,-21,0.481415,6702939,89912.003363
477,1438,0.011070,-20,0.480120,6720269,90146.296211
478,1127,0.012449,-20,0.479106,6734106,90330.489201
479,1134,0.016434,-20,0.478085,6748452,90524.617939
480,1171,0.010442,-21,0.477032,6762337,90710.494856
481,1104,0.010694,-21,0.476038,6776402,90903.788024
482,1081,0.012537,-21,0.475065,6788908,91072.651752
483,1018,0.010465,-21,0.474149,6800910,91232.861039
484,1447,0.012292,-19,0.472847,6817517,91453.552145
485,1372,0.011992,-21,0.471612,6832783,91654.976168
486,1098,0.010944,-21,0.470624,6845139,91821.131958
487,1272,0.011454,-20,0.469479,6859920,92024.880517
488,1121,0.009975,-21,0.468470,6873370,92211.256760
489,1126,0.012085,-20,0.467456,6887644,92405.101158
490,1183,0.010451,-21,0.466392,6901368,92588.895541
491,1054,0.010912,-21,0.465443,6914330,92759.643573
492,1264,0.011377,-21,0.464306,6929398,92967.488248
493,1119,0.013976,-21,0.463298,6943328,93155.562620
494,1012,0.009621,-21,0.462388,6954628,93308.567430
495,1142,0.010976,-21,0.461360,6967945,93486.149664
